序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）
153667,猎聘,能源/化工/环保,化学,材料工程师（制氢设备）,猎头职位,某知名公司,100-499人,,杭州,南京,本科,3-5年,15-25k,,,,https://www.liepin.com/a/74362807.shtml,20260608080340,,,,
153668,猎聘,能源/化工/环保,化学,核苷酸研究员,猎头职位,某苏州知名制药公司,100-499人,,杭州,苏州,本科,1-3年,15-20k,,,,https://www.liepin.com/a/74637879.shtml,20260609161914,,,,
153669,猎聘,能源/化工/环保,化学,分析测试工程师,猎头职位,某北京金属制品上市公司,1000-2000人,,杭州,南通,统招本科,3-5年,15-30k,,,,https://www.liepin.com/a/76036583.shtml,20260609163722,,,,
153670,猎聘,能源/化工/环保,化学,理化实验室测试工程师,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-江宁区,统招本科,1-3年,15-25k·16薪,,,,https://www.liepin.com/a/73970523.shtml,20260609111951,,,,
153671,猎聘,能源/化工/环保,化学,连续流合成研究员,猎头职位,某南京制药上市公司,1000-2000人,,杭州,南京-浦口区,统招本科,3-5年,12-18k·14薪,,,,https://www.liepin.com/a/73499185.shtml,20260608164736,,,,
153672,猎聘,能源/化工/环保,化学,有机合成研究员（中间体 CDMO）,猎头职位,某上海制药上市公司,100-499人,,杭州,南通,硕士,3-5年,15-18k·13薪,,,,https://www.liepin.com/a/76141265.shtml,20260604091710,,,,
153673,猎聘,能源/化工/环保,化学,车间主任,猎头职位,某国内制药公司,50-99人,,杭州,泰州-泰兴,学历不限,3-5年,15-30k,,,,https://www.liepin.com/a/75573227.shtml,20260512144314,,,,
153674,猎聘,能源/化工/环保,化学,药化研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,本科,3年以上,14-20k,,,,https://www.liepin.com/a/75632947.shtml,20260513170538,,,,
153675,猎聘,能源/化工/环保,化学,合成研究员,猎头职位,某知名公司,100-499人,,杭州,苏州,硕士,3-5年,13-21k·14薪,,,,https://www.liepin.com/a/74740661.shtml,20260513171538,,,,
153676,猎聘,能源/化工/环保,化学,分析工程师（上市公司）,猎头职位,某苏州大型新能源公司,5000-10000人,,杭州,苏州-张家港,硕士,1-3年,12-18k·14薪,,,,https://www.liepin.com/a/76312209.shtml,20260609104002,,,,
153677,猎聘,能源/化工/环保,化学,理化实验室测试工程师,猎头职位,某南京大型新能源公司,1000-2000人,,杭州,南京-江宁区,本科,2年以上,15-25k·16薪,,,,https://www.liepin.com/a/73930565.shtml,20260609131058,,,,
153678,猎聘,能源/化工/环保,化学,材料工程师,猎头职位,某大型新能源公司,5000-10000人,,杭州,南京-栖霞区,本科,3年以上,20-30k,,,,https://www.liepin.com/a/75690711.shtml,20260514183754,,,,
153679,猎聘,能源/化工/环保,化学,合成工艺研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,本科,3年以上,14-15k,,,,https://www.liepin.com/a/75633265.shtml,20260513162604,,,,
153680,猎聘,能源/化工/环保,化学,保护膜涂布工艺工程师（光学膜、胶带、保护膜、硬化膜）,猎头职位,某大型世界500强化工公司,5000-10000人,,杭州,苏州,大专,5-10年,22-30k·15薪,,,,https://www.liepin.com/a/75305253.shtml,20260609084138,,,,
153681,猎聘,能源/化工/环保,化学,电池辅材开发工程师,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,统招本科,1-3年,20-30k·16薪,,,,https://www.liepin.com/a/73644309.shtml,20260609084836,,,,
153682,猎聘,能源/化工/环保,化学,质量研究员,猎头职位,某国内制药上市公司,5000-10000人,,杭州,常州-新北区,本科,1-3年,10-15k,,,,https://www.liepin.com/a/75575361.shtml,20260512150332,,,,
153683,猎聘,能源/化工/环保,化学,供应商质量管理,猎头职位,某国内大型新能源公司,5000-10000人,,杭州,常州-金坛区,学历不限,3-5年,25-35k·17薪,,,,https://www.liepin.com/a/75942503.shtml,20260609135539,,,,
153684,猎聘,能源/化工/环保,化学,固态电池研发专家,猎头职位,某国内大型新能源公司,5000-10000人,,杭州,无锡,本科,5-10年,50-80k·20薪,,,,https://www.liepin.com/a/75924925.shtml,20260601161337,,,,
153685,猎聘,能源/化工/环保,化学,电芯研发总监,猎头职位,某国内新能源上市公司,10000人以上,,杭州,常州-金坛区,硕士,10年以上,40-60k·15薪,,,,https://www.liepin.com/a/76105173.shtml,20260609114203,,,,
153686,猎聘,能源/化工/环保,化学,研发工程师（聚氨酯弹性体、聚氨酯预聚体）,猎头职位,某国内橡胶/塑料制品公司,50-99人,,杭州,泰州,学历不限,经验不限,15-25k,,,,https://www.liepin.com/a/76256493.shtml,20260601134558,,,,
153687,猎聘,能源/化工/环保,化学,EHS Manager,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,统招本科,10年以上,20-30k·15薪,,,,https://www.liepin.com/a/74638957.shtml,20260603173314,,,,
153688,猎聘,能源/化工/环保,化学,合成工艺研究员,猎头职位,某苏州学术/科研公司,100-499人,,杭州,苏州,硕士,3-10年,14-20k,,,,https://www.liepin.com/a/75632793.shtml,20260514081910,,,,
153689,猎聘,能源/化工/环保,化学,合成工艺研究员,猎头职位,某知名公司,100-499人,,杭州,苏州,学历不限,经验不限,20-23k·13薪,,,,https://www.liepin.com/a/74928629.shtml,20260520103327,,,,
153690,猎聘,能源/化工/环保,化学,研发工程师（聚氨酯，弹性体、预聚体，高铁、脚轮）,猎头职位,某国内电子/半导体/集成电路公司,50-99人,,杭州,泰州,大专,经验不限,15-30k,,,,https://www.liepin.com/a/76288123.shtml,20260609095642,,,,
153691,猎聘,能源/化工/环保,化学,药化合成高级研究员,猎头职位,某国内大型制药公司,1000-2000人,,杭州,苏州,博士,5年以下,25-30k·13薪,,,,https://www.liepin.com/a/75787867.shtml,20260604170930,,,,
153692,猎聘,能源/化工/环保,化学,有机合成研究员,猎头职位,某上海大型制药公司,500-999人,,杭州,无锡,本科,2年以上,15-30k,,,,https://www.liepin.com/a/74965709.shtml,20260609091810,,,,
153693,猎聘,能源/化工/环保,化学,测试工程师,猎头职位,某国内新能源公司,50-99人,,杭州,常州,本科,3-5年,8-13k·14薪,,,,https://www.liepin.com/a/76076599.shtml,20260605182622,,,,
153694,猎聘,能源/化工/环保,化学,质量分析研究员（大分子 ADC）,猎头职位,某苏州大型制药公司,500-999人,,杭州,苏州,硕士,3-5年,17-25k·14薪,,,,https://www.liepin.com/a/75828405.shtml,20260520133617,,,,
153695,猎聘,能源/化工/环保,化学,药物分析研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,本科,3-5年,14-20k,,,,https://www.liepin.com/a/75653819.shtml,20260514094953,,,,
153696,猎聘,能源/化工/环保,化学,环安经理（制造业）,猎头职位,某苏州大型电子/半导体/集成电路公司,5000-10000人,,杭州,苏州,本科,10年以上,18-26k·14薪,,,,https://www.liepin.com/a/75113213.shtml,20260427180059,,,,
153697,猎聘,能源/化工/环保,化学,材料研发岗（固态）,猎头职位,某国内大型新能源公司,5000-10000人,,杭州,常州,博士,5-10年,40-60k·20薪,,,,https://www.liepin.com/a/73912539.shtml,20260602151626,,,,
153698,猎聘,能源/化工/环保,化学,合成工艺研究员-高级研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州-工业园区,本科,3-5年,15-25k,,,,https://www.liepin.com/a/74836499.shtml,20260420152430,,,,
153699,猎聘,能源/化工/环保,化学,Biology-SM/AD,猎头职位,某苏州制药公司,1-49人,,杭州,苏州-工业园区,硕士,5-10年,30-50k·14薪,,,,https://www.liepin.com/a/75841839.shtml,20260609093527,,,,
153700,猎聘,能源/化工/环保,化学,合成研究员,猎头职位,某南京制药上市公司,1000-2000人,,杭州,南京,本科,5-10年,15-30k·14薪,,,,https://www.liepin.com/a/75455213.shtml,20260522173457,,,,
153701,猎聘,能源/化工/环保,化学,电镀工艺工程师,猎头职位,某知名公司,1-49人,,杭州,苏州-昆山,学历不限,经验不限,20-30k·13薪,,,,https://www.liepin.com/a/75927259.shtml,20260525100542,,,,
153702,猎聘,能源/化工/环保,化学,电镀工艺工程师,猎头职位,某知名公司,,,杭州,苏州-昆山,学历不限,经验不限,20-30k·13薪,,,,https://www.liepin.com/a/75909147.shtml,20260609105447,,,,
153703,猎聘,能源/化工/环保,化学,LNP 递送科学家/总监,猎头职位,某南京制药公司,100-499人,,杭州,南京-栖霞区,博士,1-3年,25-35k·14薪,,,,https://www.liepin.com/a/76275025.shtml,20260601171000,,,,
153704,猎聘,能源/化工/环保,化学,知识产权经理,猎头职位,某南京医疗器械上市公司,5000-10000人,,杭州,南京-玄武区,统招本科,5年以上,25-40k·14薪,,,,https://www.liepin.com/a/76113395.shtml,20260527142354,,,,
153705,猎聘,能源/化工/环保,化学,合成工艺研究员/高级研究员/科学家,猎头职位,某国内大型制药公司,10000人以上,,杭州,苏州,学历不限,3-5年,16-30k,,,,https://www.liepin.com/a/75453405.shtml,20260509113126,,,,
153706,猎聘,能源/化工/环保,化学,电池失效分析工程师,猎头职位,某南京大型新能源公司,1000-2000人,,杭州,南京-江宁区,硕士,3-5年,20-40k·14薪,,,,https://www.liepin.com/a/76359605.shtml,20260609203854,,,,
153707,猎聘,能源/化工/环保,化学,研发主管,猎头职位,某苏州制药公司,100-499人,,杭州,苏州,硕士,5-10年,20-35k·14薪,,,,https://www.liepin.com/a/76277245.shtml,20260608093542,,,,
153708,猎聘,能源/化工/环保,化学,电芯研发主任工程师,猎头职位,某苏州新能源上市公司,5000-10000人,,杭州,苏州,硕士,5-10年,35-60k·18薪,,,,https://www.liepin.com/a/75612341.shtml,20260603173819,,,,
153709,猎聘,能源/化工/环保,化学,非天然氨基酸研究员,猎头职位,某郑州其他生活服务公司,50-99人,,杭州,苏州,统招本科,3-5年,15-25k,,,,https://www.liepin.com/a/74358435.shtml,20260604092813,,,,
153710,猎聘,能源/化工/环保,化学,电芯研发总监,猎头职位,某苏州新能源公司,100-499人,,杭州,苏州,统招本科,5-10年,50-60k·14薪,,,,https://www.liepin.com/a/76119591.shtml,20260603091438,,,,
153711,猎聘,能源/化工/环保,化学,工艺/制程工程师(PE),猎头职位,某知名公司,,,杭州,苏州-昆山,学历不限,3-5年,13-20k·13薪,,,,https://www.liepin.com/a/75919261.shtml,20260605105324,,,,
153712,猎聘,能源/化工/环保,化学,磷酸铁锂材料研发工程师（正极材料）,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-栖霞区,硕士,1-3年,20-40k·16薪,,,,https://www.liepin.com/a/71193481.shtml,20260609111952,,,,
153713,猎聘,能源/化工/环保,化学,电镀工艺工程师,猎头职位,某知名公司,1-49人,,杭州,苏州,学历不限,经验不限,20-25k·13薪,,,,https://www.liepin.com/a/75259573.shtml,20260525093356,,,,
153714,猎聘,能源/化工/环保,化学,铁锂/钠电电芯研发,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,硕士,1-3年,30-40k·16薪,,,,https://www.liepin.com/a/73848789.shtml,20260608093315,,,,
153715,猎聘,能源/化工/环保,化学,常州国际学校教师,猎头职位,某知名公司,100-499人,,杭州,常州,硕士,经验不限,15-25k·13薪,,,,https://www.liepin.com/a/74591773.shtml,20260519122138,,,,
153716,猎聘,能源/化工/环保,化学,结晶工程师,猎头职位,某苏州制药公司,100-499人,,杭州,苏州,硕士,3-5年,17-22k,,,,https://www.liepin.com/a/75530493.shtml,20260609094351,,,,
153717,猎聘,能源/化工/环保,化学,材料工程师,猎头职位,某大型新能源公司,5000-10000人,,杭州,南京,硕士,3-5年,20-40k·13薪,,,,https://www.liepin.com/a/75259535.shtml,20260506085745,,,,
153718,猎聘,能源/化工/环保,化学,（高级）制造工程师 (表面处理),猎头职位,某苏州批发/零售公司,100-499人,,杭州,苏州,本科,经验不限,20-25k·13薪,,,,https://www.liepin.com/a/74454139.shtml,20260601133928,,,,
153719,猎聘,能源/化工/环保,化学,合成工程师,猎头职位,某苏州大型制药公司,500-999人,,杭州,苏州,本科,3-5年,18-24k,,,,https://www.liepin.com/a/75389511.shtml,20260609161914,,,,
153720,猎聘,能源/化工/环保,化学,质量检测员/测试员,猎头职位,某日化公司,100-499人,,杭州,常州,大专,经验不限,7-9k·14薪,,,,https://www.liepin.com/a/75938483.shtml,20260522145127,,,,
153721,猎聘,能源/化工/环保,化学,合成工程师,猎头职位,某苏州大型制药公司,500-999人,,杭州,苏州,统招本科,6-10年,14-22k,,,,https://www.liepin.com/a/75382973.shtml,20260608152319,,,,
153722,猎聘,能源/化工/环保,化学,工艺技术负责人,猎头职位,某国内化工公司,,,杭州,连云港,学历不限,经验不限,20-25k·13薪,,,,https://www.liepin.com/a/76027193.shtml,20260528092652,,,,
153723,猎聘,能源/化工/环保,化学,药物分析与稳定性研究专员,猎头职位,某苏州大型制药公司,1000-2000人,,杭州,苏州-吴中区,统招本科,3-5年,12-15k·13薪,,,,https://www.liepin.com/a/74712529.shtml,20260416111606,,,,
153724,猎聘,能源/化工/环保,化学,高级分析研究员,猎头职位,某南京知名公司,1000-2000人,,杭州,南京,统招本科,5-10年,18-25k,,,,https://www.liepin.com/a/75132307.shtml,20260428105131,,,,
153725,猎聘,能源/化工/环保,化学,工艺技术负责人,猎头职位,某国内化工公司,,,杭州,连云港,本科,5-10年,15-30k,,,,https://www.liepin.com/a/76125401.shtml,20260608093542,,,,
153726,猎聘,能源/化工/环保,化学, ADC偶联高级研究员,猎头职位,某知名公司,100-499人,,杭州,南京,硕士,5-10年,25-35k·14薪,,,,https://www.liepin.com/a/74141849.shtml,20260519100813,,,,
153727,猎聘,能源/化工/环保,化学,水处理药剂研发专员,猎头职位,某国内大型环保公司,500-999人,,杭州,无锡,硕士,3-5年,12-20k,,,,https://www.liepin.com/a/75503551.shtml,20260604142628,,,,
153728,猎聘,能源/化工/环保,化学,工艺专家，工艺博士,猎头职位,知名半导体公司,100-499人,,杭州,苏州,博士,经验不限,45-60k·13薪,,,,https://www.liepin.com/a/74412403.shtml,20260606224621,,,,
153729,猎聘,能源/化工/环保,化学,工艺和持续改善工程师,猎头职位,某知名公司,1-49人,,杭州,苏州,本科,5-10年,20-26k·15薪,,,,https://www.liepin.com/a/76188185.shtml,20260609094400,,,,
153730,猎聘,能源/化工/环保,化学,质量总监（密封条，英语要好）,猎头职位,某苏州大型橡胶/塑料制品公司,5000-10000人,,杭州,苏州,统招本科,5-10年,30-40k,,,,https://www.liepin.com/a/76093959.shtml,20260527100304,,,,
153731,猎聘,能源/化工/环保,化学,研发总监（薄膜沉积）,猎头职位,某国内化工公司,50-99人,,杭州,南京,硕士,10年以上,80-100k,,,,https://www.liepin.com/a/75109983.shtml,20260602174901,,,,
153732,猎聘,能源/化工/环保,化学,药化科学家/经理/总监,猎头职位,某苏州知名公司,100-499人,,杭州,苏州-工业园区,博士,5-10年,40-70k·14薪,,,,https://www.liepin.com/a/76163631.shtml,20260528143142,,,,
153733,猎聘,能源/化工/环保,化学,电子浆料研发工程师,猎头职位,外资化工企业,5000-10000人,,杭州,苏州,硕士,经验不限,20-35k·14薪,,,,https://www.liepin.com/a/76335225.shtml,20260607103653,,,,
153734,猎聘,能源/化工/环保,化学,技术经理,猎头职位,某知名化工公司,50-99人,,杭州,徐州,学历不限,10年以上,20-25k·13薪,,,,https://www.liepin.com/a/74873533.shtml,20260603193017,,,,
153735,猎聘,能源/化工/环保,化学,电解质材料开发,猎头职位,某国内矿产开采上市公司,1000-2000人,,杭州,苏州,博士,2年以上,30-60k·15薪,,,,https://www.liepin.com/a/75897267.shtml,20260604113239,,,,
153736,猎聘,能源/化工/环保,化学,苏州拓界-药化总监ADC-苏州,猎头职位,某苏州学术/科研公司,,,杭州,苏州-工业园区,博士,5-10年,80-100k,,,,https://www.liepin.com/a/76264413.shtml,20260601151205,,,,
153737,猎聘,能源/化工/环保,化学,知识产权工程师,猎头职位,某南京医疗器械上市公司,5000-10000人,,杭州,南京,统招本科,5-7年,30-40k,,,,https://www.liepin.com/a/76423377.shtml,20260604164251,,,,
153738,猎聘,能源/化工/环保,化学,安环总监,猎头职位,某上海制药公司,1-49人,,杭州,连云港,统招本科,10年以上,20-35k,,,,https://www.liepin.com/a/76158279.shtml,20260605094741,,,,
153739,猎聘,能源/化工/环保,化学,药化合成高级研究员,猎头职位,某知名制药上市公司,10000人以上,,杭州,苏州,博士,经验不限,30-40k·14薪,,,,https://www.liepin.com/a/75762493.shtml,20260609091227,,,,
153740,猎聘,能源/化工/环保,化学,连续流高级研究员,猎头职位,某大型知名制药公司,500-999人,,杭州,南京,本科,3-5年,15-30k,,,,https://www.liepin.com/a/73445027.shtml,20260609101048,,,,
153741,猎聘,能源/化工/环保,化学,原料药技术负责人,猎头职位,某上海制药公司,100-499人,,杭州,南通,硕士,5-10年,30-60k,,,,https://www.liepin.com/a/73918445.shtml,20260608093542,,,,
153742,猎聘,能源/化工/环保,化学,有机合成研究员,猎头职位,某国内大型制药公司,5000-10000人,,杭州,无锡,学历不限,8年以下,7-12k,,,,https://www.liepin.com/a/75565787.shtml,20260512130730,,,,
153743,猎聘,能源/化工/环保,化学,研发质量管理 - 医疗器械/IVD/无缘/有缘,猎头职位,某医疗器械公司,500-999人,,杭州,南京,统招本科,7年以上,20-35k·14薪,,,,https://www.liepin.com/a/76234489.shtml,20260531184845,,,,
153744,猎聘,能源/化工/环保,化学,小核酸设计科学家,猎头职位,某北京制药公司,100-499人,,杭州,苏州,博士,1年以上,40-70k,,,,https://www.liepin.com/a/74709887.shtml,20260608181939,,,,
153745,猎聘,能源/化工/环保,化学,小核酸高级研究员,猎头职位,某大型知名制药公司,500-999人,,杭州,南京,本科,5-10年,20-40k·14薪,,,,https://www.liepin.com/a/76113419.shtml,20260609101047,,,,
153746,猎聘,能源/化工/环保,化学,CADD,猎头职位,某制药公司,50-99人,,杭州,苏州,博士,经验不限,25-35k·14薪,,,,https://www.liepin.com/a/75701729.shtml,20260604090601,,,,
153747,猎聘,能源/化工/环保,化学,药化科学家,猎头职位,某苏州知名公司,100-499人,,杭州,苏州-工业园区,硕士,5-10年,23-35k·14薪,,,,https://www.liepin.com/a/75660243.shtml,20260514105247,,,,
153748,猎聘,能源/化工/环保,化学,硅负极材料资深工程师,猎头职位,某国内大型新能源公司,2000-5000人,,杭州,常州-新北区,本科,3-5年,22-35k·13薪,,,,https://www.liepin.com/a/75760577.shtml,20260608091026,,,,
153749,猎聘,能源/化工/环保,化学,药化总监,猎头职位,某苏州医疗机构公司,50-99人,,杭州,苏州,博士,5-10年,60-90k·14薪,,,,https://www.liepin.com/a/75704999.shtml,20260603185354,,,,
153750,猎聘,能源/化工/环保,化学,材料博士,猎头职位,某国内大型机械制造公司,500-999人,,杭州,无锡-锡山区,博士,经验不限,30-40k,,,,https://www.liepin.com/a/75571985.shtml,20260608100956,,,,
153751,猎聘,能源/化工/环保,化学,药化设计科学家（ADC方向）,猎头职位,某南京大型制药公司,2000-5000人,,杭州,南京,学历不限,5-10年,30-40k,,,,https://www.liepin.com/a/75129975.shtml,20260609092950,,,,
153752,猎聘,能源/化工/环保,化学,有机合成高级研究员,猎头职位,某上海大型制药公司,10000人以上,,杭州,常州,博士,1-3年,27-35k·14薪,,,,https://www.liepin.com/a/76359013.shtml,20260603134410,,,,
153753,猎聘,能源/化工/环保,化学,药化科学家/D/ED/VP,猎头职位,某知名公司,100-499人,,杭州,苏州,博士,3年以上,40-60k·14薪,,,,https://www.liepin.com/a/75965373.shtml,20260601092242,,,,
153754,猎聘,能源/化工/环保,化学,小核酸设计Leader,猎头职位,某苏州学术/科研公司,1-49人,,杭州,苏州,博士,3-5年,40-60k,,,,https://www.liepin.com/a/75639989.shtml,20260609165909,,,,
153755,猎聘,能源/化工/环保,化学,核酸药物研发技术负责人,猎头职位,某南京科技推广服务公司,50-99人,,杭州,南京,本科,10年以上,50-60k·15薪,,,,https://www.liepin.com/a/75535947.shtml,20260608141754,,,,
153756,猎聘,能源/化工/环保,化学,药物分析研究员,猎头职位,某苏州学术/科研公司,100-499人,,杭州,苏州,硕士,3-10年,14-18k,,,,https://www.liepin.com/a/75654895.shtml,20260514100021,,,,
153757,猎聘,能源/化工/环保,化学,研发研究员,猎头职位,某南京大型石化公司,500-999人,,杭州,南京,硕士,5-10年,20-30k·14薪,,,,https://www.liepin.com/a/74907995.shtml,20260604145938,,,,
153758,猎聘,能源/化工/环保,化学,研发工程师,猎头职位,某国内知名新能源公司,10000人以上,,杭州,常州-溧阳,硕士,1-3年,15-25k,,,,https://www.liepin.com/a/75648103.shtml,20260522104500,,,,
153759,猎聘,能源/化工/环保,化学,LFP体系电解液开发工程师,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-栖霞区,硕士,3-5年,20-40k·16薪,,,,https://www.liepin.com/a/73817323.shtml,20260609111952,,,,
153760,猎聘,能源/化工/环保,化学,连续流研发,猎头职位,某南京知名公司,1000-2000人,,杭州,南京,统招本科,3-5年,12-20k,,,,https://www.liepin.com/a/76354373.shtml,20260603113842,,,,
153761,猎聘,能源/化工/环保,化学,电池辅材研发工程师,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-栖霞区,硕士,3-5年,20-40k·16薪,,,,https://www.liepin.com/a/75174997.shtml,20260609111951,,,,
153762,猎聘,能源/化工/环保,化学,电解液研发,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,硕士,5-10年,30-60k·14薪,,,,https://www.liepin.com/a/76105533.shtml,20260608093315,,,,
153763,猎聘,能源/化工/环保,化学,Plant Manager运营经理/工厂长（挤出模压成型/工程塑料/英语商务）,猎头职位,某上海化工公司,100-499人,,杭州,苏州-常熟,统招本科,10年以上,40-60k,,,,https://www.liepin.com/a/74911927.shtml,20260609081054,,,,
153764,猎聘,能源/化工/环保,化学,InP 外延工艺专家,猎头职位,某苏州电子/半导体/集成电路公司,100-499人,,杭州,苏州,本科,10年以上,50-70k·13薪,,,,https://www.liepin.com/a/76131105.shtml,20260527175811,,,,
153765,猎聘,能源/化工/环保,化学,ECP工艺研发工程师,猎头职位,某苏州知名公司,100-499人,,杭州,苏州-昆山,学历不限,经验不限,25-30k·13薪,,,,https://www.liepin.com/a/75955537.shtml,20260525100542,,,,
153766,猎聘,能源/化工/环保,化学,药化科学家,猎头职位,某南京大型制药公司,2000-5000人,,杭州,南京,博士,5-10年,40-60k,,,,https://www.liepin.com/a/75516873.shtml,20260604111321,,,,
153767,猎聘,能源/化工/环保,化学,核酸药物研发技术负责人,猎头职位,某南京科技推广服务公司,50-99人,,杭州,南京,博士,5-10年,50-60k·15薪,,,,https://www.liepin.com/a/75537563.shtml,20260608153421,,,,
153768,猎聘,能源/化工/环保,化学,方形电芯产品开发（商用车方向）,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,硕士,3-5年,30-40k·16薪,,,,https://www.liepin.com/a/76170513.shtml,20260608093315,,,,
153769,猎聘,能源/化工/环保,化学,工艺研发工程师,猎头职位,某知名公司,,,杭州,苏州-相城区,博士,经验不限,25-30k·13薪,,,,https://www.liepin.com/a/75812121.shtml,20260609100504,,,,
153770,猎聘,能源/化工/环保,化学,助理供应链协调员,猎头职位,苏州业格企业管理咨询有限公司,1-49人,,杭州,苏州,统招本科,1-3年,6-10k·13薪,,,,https://www.liepin.com/a/74650423.shtml,20260527224327,,,,
153771,猎聘,能源/化工/环保,化学,研发总监（半导体材料）,猎头职位,某国内电子/半导体/集成电路公司,100-499人,,杭州,南京,统招本科,10年以上,55-85k,,,,https://www.liepin.com/a/75257973.shtml,20260601151609,,,,
153772,猎聘,能源/化工/环保,化学,有机合成高级研究员,猎头职位,某上海专业技术服务公司,100-499人,,杭州,苏州-工业园区,硕士,3年以上,25-30k,,,,https://www.liepin.com/a/75569711.shtml,20260512140929,,,,
153773,猎聘,能源/化工/环保,化学,药化总监,猎头职位,某南京咨询服务公司,50-99人,,杭州,苏州,硕士,5-10年,50-70k·15薪,,,,https://www.liepin.com/a/74539835.shtml,20260608173616,,,,
153774,猎聘,能源/化工/环保,化学,LNP递送系统开发（LNP配方）,猎头职位,某南京制药公司,100-499人,,杭州,南京,博士,经验不限,30-45k·13薪,,,,https://www.liepin.com/a/76031325.shtml,20260525173028,,,,
153775,猎聘,能源/化工/环保,化学,电镀工艺工程师,猎头职位,某苏州知名上市公司,100-499人,,杭州,苏州-昆山,统招本科,5年以上,13-20k·14薪,,,,https://www.liepin.com/a/75199171.shtml,20260527114237,,,,
153776,猎聘,能源/化工/环保,化学,药化总监,猎头职位,某南京制药公司,50-99人,,杭州,南京,硕士,10年以上,70-90k,,,,https://www.liepin.com/a/74081133.shtml,20260608131338,,,,
153777,猎聘,能源/化工/环保,化学,镀铜研发,猎头职位,某知名公司,1-49人,,杭州,苏州,硕士,3-5年,25-40k·13薪,,,,https://www.liepin.com/a/75956759.shtml,20260605105323,,,,
153778,猎聘,能源/化工/环保,化学,药化组长,猎头职位,某南京制药上市公司,1000-2000人,,杭州,南京,学历不限,经验不限,20-35k·13薪,,,,https://www.liepin.com/a/74180787.shtml,20260603111202,,,,
153779,猎聘,能源/化工/环保,化学,电池辅材研发工程师,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京-栖霞区,硕士,2年以上,35-45k,,,,https://www.liepin.com/a/76104999.shtml,20260609085628,,,,
153780,猎聘,能源/化工/环保,化学, 分析部主任/经理(Analytical R&D),猎头职位,某原料药企业,10000人以上,,杭州,南京,硕士,3年以上,25-45k·15薪,,,,https://www.liepin.com/a/73858119.shtml,20260609114922,,,,
153781,猎聘,能源/化工/环保,化学,胶粘剂研发（电子胶、车身胶、内饰胶、电池胶、“南通/上海/北京/广州”）,猎头职位,某国内知名公司,100-499人,,杭州,南通,统招本科,经验不限,20-40k·14薪,,,,https://www.liepin.com/a/75595419.shtml,20260512200636,,,,
153782,猎聘,能源/化工/环保,化学,研发总监（环氧树脂胶粘剂）,猎头职位,某国内金属制品公司,100-499人,,杭州,镇江,博士,10年以上,50-80k·15薪,,,,https://www.liepin.com/a/75532241.shtml,20260608154337,,,,
153783,猎聘,能源/化工/环保,化学,合成工艺经理,猎头职位,某苏州大型制药公司,500-999人,,杭州,苏州,统招本科,5-10年,21-30k,,,,https://www.liepin.com/a/76204741.shtml,20260609094351,,,,
153784,猎聘,能源/化工/环保,化学,理化实验室主管,猎头职位,某大型知名机械/设备公司,2000-5000人,,杭州,苏州-张家港,本科,3-5年,11-20k,,,,https://www.liepin.com/a/73302325.shtml,20260604093513,,,,
153785,猎聘,能源/化工/环保,化学,电解液研发工程师,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-栖霞区,硕士,3-5年,20-40k·16薪,,,,https://www.liepin.com/a/73301035.shtml,20260609111952,,,,
153786,猎聘,能源/化工/环保,化学,LFP电芯主任,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,硕士,5-10年,40-50k·16薪,,,,https://www.liepin.com/a/75077965.shtml,20260608093315,,,,
153787,猎聘,能源/化工/环保,化学,高级研发科学家（生物传感器方向）,猎头职位,某知名公司,50-99人,,杭州,南京,博士,3年以上,60-80k,,,,https://www.liepin.com/a/76042787.shtml,20260526092718,,,,
153788,猎聘,能源/化工/环保,化学,钠电平台电芯研发工程师,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-栖霞区,硕士,5-10年,20-40k·16薪,,,,https://www.liepin.com/a/75174981.shtml,20260609111951,,,,
